Putin is a totalitarian, oppressive, ruthless man, and allowing him to gain more power will affect all of us.	Being able doesn't imply you are going to be helpful on that front.	0	2
What if you are more useful as a negotiator working towards a peaceful resolution to the conflict than you are as a freedom fighter.	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	0	7
What if you are more useful as a negotiator working towards a peaceful resolution to the conflict than you are as a freedom fighter.	Feels to me as if Putin senses weakness in the Western world	0	6
What if you are more useful as a negotiator working towards a peaceful resolution to the conflict than you are as a freedom fighter.	His territorial pissings seems to be meant to elbow some room for himself on the geopolitical stage, in other words gaining power.	0	2
What if you are more useful as a negotiator working towards a peaceful resolution to the conflict than you are as a freedom fighter.	Putin is a totalitarian, oppressive, ruthless man, and allowing him to gain more power will affect all of us.	0	1
What if you are more useful as a negotiator working towards a peaceful resolution to the conflict than you are as a freedom fighter.	I count that towards 'being on the Ukrainian border, driving back Russians'	0	2
Being able doesn't imply you are going to be helpful on that front.	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	1	8
Being able doesn't imply you are going to be helpful on that front.	Feels to me as if Putin senses weakness in the Western world	0	7
Being able doesn't imply you are going to be helpful on that front.	His territorial pissings seems to be meant to elbow some room for himself on the geopolitical stage, in other words gaining power.	0	3
Being able doesn't imply you are going to be helpful on that front.	Putin is a totalitarian, oppressive, ruthless man, and allowing him to gain more power will affect all of us.	0	2
Being able doesn't imply you are going to be helpful on that front.	I count that towards 'being on the Ukrainian border, driving back Russians'	0	1
I count that towards 'being on the Ukrainian border, driving back Russians'	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	0	9
I count that towards 'being on the Ukrainian border, driving back Russians'	Being able doesn't imply you are going to be helpful on that front.	1	1
I count that towards 'being on the Ukrainian border, driving back Russians'	Your original post had a very different tone to it however.	0	3
Whatever way you think you can make yourself useful.	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	0	10
Whatever way you think you can make yourself useful.	Being able doesn't imply you are going to be helpful on that front.	0	2
Whatever way you think you can make yourself useful.	Your original post had a very different tone to it however.	0	2
It can be fighting, negotiating, cooking, doctoring..	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	0	11
It can be fighting, negotiating, cooking, doctoring..	Being able doesn't imply you are going to be helpful on that front.	0	3
It can be fighting, negotiating, cooking, doctoring..	Your original post had a very different tone to it however.	0	1
Your original post had a very different tone to it however.	CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	0	12
Your original post had a very different tone to it however.	I count that towards 'being on the Ukrainian border, driving back Russians'	1	3
CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	0	12
[47% of all jobs are at risk of being automated](http://motherboard.vice.com/blog/the-rich-and-their-robots-are-about-to-make-half-the-worlds-jobs-disappear).	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	9
This number will grow grow until the vast majority of people become obsolete for jobs.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	8
Since some of this automation will inevitably come to weapons, the wealthy will have the perfect opportunity to commit genocide on the 99%.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	7
By fortifying themselves in their gated communities with rows upon rows of automated defences, all unburdened by humans with consciences and families, they can simply wait for everyone to starve or get killed while they bask in their machine generated wealth.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	6
Once everyone is dead, they can simply be wiped from history.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	5
You, me, everyone will have never existed.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	4
A crime completely erased.	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	3
Bill Gates is one of the wealthiest people in the world and he devotes a substantial portion of his wealth to philanthropy.	CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	0	8
Bill Gates is one of the wealthiest people in the world and he devotes a substantial portion of his wealth to philanthropy.	The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	0	4
He is not alone in this.	CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	0	9
He is not alone in this.	The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	0	3
While there are rich assholes, many wealthy people use their money to try to improve the world.	CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	1	10
While there are rich assholes, many wealthy people use their money to try to improve the world.	The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	0	2
If there are more non-asshole rich, why isn't there a global push for better worker protection, and investment, instead of the complete opposite?	CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	0	11
If there are more non-asshole rich, why isn't there a global push for better worker protection, and investment, instead of the complete opposite?	While there are rich assholes, many wealthy people use their money to try to improve the world.	0	1
The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	CMV: Progress in automation will eventually lead to a full fledge genocide on the majority of the population.	0	12
The rich are all hoarding money on the Cayman Islands and don't care about anything that keeping it for themselves and their dynasties.	While there are rich assholes, many wealthy people use their money to try to improve the world.	1	2
CMV: The global dominance of the abrahamic faiths is largely an accident of geography	Judiasm is a counter-example to your statement.	0	11
I'm Unitarian Universalist	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	7
Had a group of religions identical in all respects to Judaism, Christianity, and Islam developed in pretty much any area other than the middle east, they would be no more successful than any of the other relatively minor faiths out there today, depending on what the location in question actually was	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	6
Whatever other religion had ended up developing in the middle east would likely now be globally dominant	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	5
it seems that the core of the success of the Abrahamic religions is dependent largely on the middle east's nature as both a major trade hub between Africa, Europe, and the rest of Asia	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	4
and on the fertile crescent's comparatively ancient status as a settled region	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	3
a large part of this view came from something a history teacher told me 6 years ago: "Geography Determines Destiny", and that quote has stuck with me	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	0	2
Listing of relgion by number of followers http://en.wikipedia.org/wiki/Major_religious_groups#Religious_demographics 1. Christianity 2. Islam 3. Hinduism 4. Buddhism 5. Shinto 6. Sikhism 7. Judaism	CMV: The global dominance of the abrahamic faiths is largely an accident of geography	0	7
Listing of relgion by number of followers http://en.wikipedia.org/wiki/Major_religious_groups#Religious_demographics 1. Christianity 2. Islam 3. Hinduism 4. Buddhism 5. Shinto 6. Sikhism 7. Judaism	it seems that the core of the success of the Abrahamic religions is dependent largely on the middle east's nature as both a major trade hub between Africa, Europe, and the rest of Asia	0	3
Listing of relgion by number of followers http://en.wikipedia.org/wiki/Major_religious_groups#Religious_demographics 1. Christianity 2. Islam 3. Hinduism 4. Buddhism 5. Shinto 6. Sikhism 7. Judaism	and on the fertile crescent's comparatively ancient status as a settled region	0	2
Listing of relgion by number of followers http://en.wikipedia.org/wiki/Major_religious_groups#Religious_demographics 1. Christianity 2. Islam 3. Hinduism 4. Buddhism 5. Shinto 6. Sikhism 7. Judaism	I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	0	2
If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	CMV: The global dominance of the abrahamic faiths is largely an accident of geography	1	8
If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	it seems that the core of the success of the Abrahamic religions is dependent largely on the middle east's nature as both a major trade hub between Africa, Europe, and the rest of Asia	0	4
If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	and on the fertile crescent's comparatively ancient status as a settled region	0	3
If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	0	1
I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	CMV: The global dominance of the abrahamic faiths is largely an accident of geography	0	9
I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	If your assertion was correct, Judiasim would be way higher than the four non Abrahamic religions above it.	1	1
I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	Judiasm is a counter-example to your statement.	0	2
Judiasm was developed in the Middle East and is not globally dominant by number of followers	CMV: The global dominance of the abrahamic faiths is largely an accident of geography	0	10
Judiasm was developed in the Middle East and is not globally dominant by number of followers	I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	0	1
Judiasm is a counter-example to your statement.	CMV: The global dominance of the abrahamic faiths is largely an accident of geography	0	11
Judiasm is a counter-example to your statement.	I don't agree that in order for my assertion to be correct, Judaism must be comparable in terms of being widespread to Islam or Christianity.	1	2
CMV: People over the retirement age (62) should not be allowed to participate in politics.	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	23
CMV: People over the retirement age (62) should not be allowed to participate in politics.	I grant you that there is merit to that idea	0	24
CMV: People over the retirement age (62) should not be allowed to participate in politics.	its better to have someone who is an effective problem solver	0	28
CMV: People over the retirement age (62) should not be allowed to participate in politics.	This is why you see so many older people in politics	0	30
I have always thought that that was a bad thing	Should young adults with trust funds not be allowed to vote	0	6
I have always thought that that was a bad thing	What about terminally ill adults?	0	8
I have always thought that that was a bad thing	What about the unemployed?	0	10
I have always thought that that was a bad thing	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	12
I have always thought that that was a bad thing	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	13
if you are already old, then the long-term consequences of your decisions probably won't happen until after you are gone, but will be horrible for all of us that are still around,	Should young adults with trust funds not be allowed to vote	0	5
if you are already old, then the long-term consequences of your decisions probably won't happen until after you are gone, but will be horrible for all of us that are still around,	What about terminally ill adults?	0	7
if you are already old, then the long-term consequences of your decisions probably won't happen until after you are gone, but will be horrible for all of us that are still around,	What about the unemployed?	0	9
if you are already old, then the long-term consequences of your decisions probably won't happen until after you are gone, but will be horrible for all of us that are still around,	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	11
if you are already old, then the long-term consequences of your decisions probably won't happen until after you are gone, but will be horrible for all of us that are still around,	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	12
if you are already retired, then you wouldn't know what it is like for a working person today, especially someone struggling to live paycheck-to-paycheck	Should young adults with trust funds not be allowed to vote	0	4
if you are already retired, then you wouldn't know what it is like for a working person today, especially someone struggling to live paycheck-to-paycheck	What about terminally ill adults?	0	6
if you are already retired, then you wouldn't know what it is like for a working person today, especially someone struggling to live paycheck-to-paycheck	What about the unemployed?	0	8
if you are already retired, then you wouldn't know what it is like for a working person today, especially someone struggling to live paycheck-to-paycheck	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	10
if you are already retired, then you wouldn't know what it is like for a working person today, especially someone struggling to live paycheck-to-paycheck	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	11
old people shouldn't be in politics	Should young adults with trust funds not be allowed to vote	0	3
old people shouldn't be in politics	What about terminally ill adults?	0	5
old people shouldn't be in politics	What about the unemployed?	0	7
old people shouldn't be in politics	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	9
old people shouldn't be in politics	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	10
the consequences of their decisions won't affect them	Should young adults with trust funds not be allowed to vote	0	2
the consequences of their decisions won't affect them	What about terminally ill adults?	0	4
the consequences of their decisions won't affect them	What about the unemployed?	0	6
the consequences of their decisions won't affect them	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	8
the consequences of their decisions won't affect them	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	9
they don't understand what the circumstances of today are	Should young adults with trust funds not be allowed to vote	0	1
they don't understand what the circumstances of today are	What about terminally ill adults?	0	3
they don't understand what the circumstances of today are	What about the unemployed?	0	5
they don't understand what the circumstances of today are	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	7
they don't understand what the circumstances of today are	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	8
Should young adults with trust funds not be allowed to vote	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	7
Should young adults with trust funds not be allowed to vote	I have always thought that that was a bad thing	0	6
Should young adults with trust funds not be allowed to vote	old people shouldn't be in politics	0	3
Should young adults with trust funds not be allowed to vote	This actually is a good point.	0	8
Should young adults with trust funds not be allowed to vote	I would be inclined to say that terminally ill people shouldn't be elected either	0	9
Should young adults with trust funds not be allowed to vote	In my view, I'd say that homeless people would be ideal for leaders	0	11
Should young adults with trust funds not be allowed to vote	I still believe it is a good idea	0	13
Should young adults with trust funds not be allowed to vote	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	14
Should young adults with trust funds not be allowed to vote	As you mentioned, it will directly impact them in the future.	0	15
they don't know what it is like to live pay check to pay check?	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	8
they don't know what it is like to live pay check to pay check?	I have always thought that that was a bad thing	0	7
they don't know what it is like to live pay check to pay check?	old people shouldn't be in politics	0	4
they don't know what it is like to live pay check to pay check?	This actually is a good point.	0	7
they don't know what it is like to live pay check to pay check?	I would be inclined to say that terminally ill people shouldn't be elected either	0	8
they don't know what it is like to live pay check to pay check?	In my view, I'd say that homeless people would be ideal for leaders	0	10
they don't know what it is like to live pay check to pay check?	I still believe it is a good idea	0	12
they don't know what it is like to live pay check to pay check?	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	13
they don't know what it is like to live pay check to pay check?	As you mentioned, it will directly impact them in the future.	0	14
What about terminally ill adults?	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	9
What about terminally ill adults?	I have always thought that that was a bad thing	0	8
What about terminally ill adults?	old people shouldn't be in politics	0	5
What about terminally ill adults?	This actually is a good point.	0	6
What about terminally ill adults?	I would be inclined to say that terminally ill people shouldn't be elected either	0	7
What about terminally ill adults?	In my view, I'd say that homeless people would be ideal for leaders	0	9
What about terminally ill adults?	I still believe it is a good idea	0	11
What about terminally ill adults?	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	12
What about terminally ill adults?	As you mentioned, it will directly impact them in the future.	0	13
They wont experience long term consequences.	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	10
They wont experience long term consequences.	I have always thought that that was a bad thing	0	9
They wont experience long term consequences.	old people shouldn't be in politics	0	6
They wont experience long term consequences.	This actually is a good point.	0	5
They wont experience long term consequences.	I would be inclined to say that terminally ill people shouldn't be elected either	0	6
They wont experience long term consequences.	In my view, I'd say that homeless people would be ideal for leaders	0	8
They wont experience long term consequences.	I still believe it is a good idea	0	10
They wont experience long term consequences.	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	11
They wont experience long term consequences.	As you mentioned, it will directly impact them in the future.	0	12
What about the unemployed?	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	11
What about the unemployed?	I have always thought that that was a bad thing	0	10
What about the unemployed?	old people shouldn't be in politics	0	7
What about the unemployed?	This actually is a good point.	0	4
What about the unemployed?	I would be inclined to say that terminally ill people shouldn't be elected either	0	5
What about the unemployed?	In my view, I'd say that homeless people would be ideal for leaders	0	7
What about the unemployed?	I still believe it is a good idea	0	9
What about the unemployed?	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	10
What about the unemployed?	As you mentioned, it will directly impact them in the future.	0	11
They don't pay income tax so they don't contribute	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	12
They don't pay income tax so they don't contribute	I have always thought that that was a bad thing	0	11
They don't pay income tax so they don't contribute	old people shouldn't be in politics	0	8
They don't pay income tax so they don't contribute	This actually is a good point.	0	3
They don't pay income tax so they don't contribute	I would be inclined to say that terminally ill people shouldn't be elected either	0	4
They don't pay income tax so they don't contribute	In my view, I'd say that homeless people would be ideal for leaders	0	6
They don't pay income tax so they don't contribute	I still believe it is a good idea	0	8
They don't pay income tax so they don't contribute	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	9
They don't pay income tax so they don't contribute	As you mentioned, it will directly impact them in the future.	0	10
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	13
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	I have always thought that that was a bad thing	0	12
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	old people shouldn't be in politics	0	9
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	This actually is a good point.	0	2
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	I would be inclined to say that terminally ill people shouldn't be elected either	0	3
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	In my view, I'd say that homeless people would be ideal for leaders	0	5
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	I still believe it is a good idea	0	7
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	8
I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	As you mentioned, it will directly impact them in the future.	0	9
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	14
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	I have always thought that that was a bad thing	0	13
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	old people shouldn't be in politics	0	10
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	This actually is a good point.	0	1
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	I would be inclined to say that terminally ill people shouldn't be elected either	0	2
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	In my view, I'd say that homeless people would be ideal for leaders	0	4
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	I still believe it is a good idea	0	6
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	0	7
You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	As you mentioned, it will directly impact them in the future.	0	8
This actually is a good point.	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	15
This actually is a good point.	Should young adults with trust funds not be allowed to vote	1	8
This actually is a good point.	What about terminally ill adults?	0	6
This actually is a good point.	What about the unemployed?	0	4
This actually is a good point.	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	2
This actually is a good point.	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	1
This actually is a good point.	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	8
This actually is a good point.	I grant you that there is merit to that idea	0	9
This actually is a good point.	its better to have someone who is an effective problem solver	0	13
This actually is a good point.	This is why you see so many older people in politics	0	15
I would be inclined to say that terminally ill people shouldn't be elected either	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	16
I would be inclined to say that terminally ill people shouldn't be elected either	Should young adults with trust funds not be allowed to vote	0	9
I would be inclined to say that terminally ill people shouldn't be elected either	What about terminally ill adults?	1	7
I would be inclined to say that terminally ill people shouldn't be elected either	What about the unemployed?	0	5
I would be inclined to say that terminally ill people shouldn't be elected either	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	3
I would be inclined to say that terminally ill people shouldn't be elected either	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	2
I would be inclined to say that terminally ill people shouldn't be elected either	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	7
I would be inclined to say that terminally ill people shouldn't be elected either	I grant you that there is merit to that idea	0	8
I would be inclined to say that terminally ill people shouldn't be elected either	its better to have someone who is an effective problem solver	0	12
I would be inclined to say that terminally ill people shouldn't be elected either	This is why you see so many older people in politics	0	14
they wouldn't have to deal with the consequences either	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	17
they wouldn't have to deal with the consequences either	Should young adults with trust funds not be allowed to vote	0	10
they wouldn't have to deal with the consequences either	What about terminally ill adults?	0	8
they wouldn't have to deal with the consequences either	What about the unemployed?	0	6
they wouldn't have to deal with the consequences either	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	4
they wouldn't have to deal with the consequences either	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	3
they wouldn't have to deal with the consequences either	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	6
they wouldn't have to deal with the consequences either	I grant you that there is merit to that idea	0	7
they wouldn't have to deal with the consequences either	its better to have someone who is an effective problem solver	0	11
they wouldn't have to deal with the consequences either	This is why you see so many older people in politics	0	13
In my view, I'd say that homeless people would be ideal for leaders	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	18
In my view, I'd say that homeless people would be ideal for leaders	Should young adults with trust funds not be allowed to vote	0	11
In my view, I'd say that homeless people would be ideal for leaders	What about terminally ill adults?	0	9
In my view, I'd say that homeless people would be ideal for leaders	What about the unemployed?	0	7
In my view, I'd say that homeless people would be ideal for leaders	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	1	5
In my view, I'd say that homeless people would be ideal for leaders	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	4
In my view, I'd say that homeless people would be ideal for leaders	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	5
In my view, I'd say that homeless people would be ideal for leaders	I grant you that there is merit to that idea	0	6
In my view, I'd say that homeless people would be ideal for leaders	its better to have someone who is an effective problem solver	0	10
In my view, I'd say that homeless people would be ideal for leaders	This is why you see so many older people in politics	0	12
they know exactly what the problems are	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	19
they know exactly what the problems are	Should young adults with trust funds not be allowed to vote	0	12
they know exactly what the problems are	What about terminally ill adults?	0	10
they know exactly what the problems are	What about the unemployed?	0	8
they know exactly what the problems are	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	6
they know exactly what the problems are	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	5
they know exactly what the problems are	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	4
they know exactly what the problems are	I grant you that there is merit to that idea	0	5
they know exactly what the problems are	its better to have someone who is an effective problem solver	0	9
they know exactly what the problems are	This is why you see so many older people in politics	0	11
I still believe it is a good idea	CMV: People over the retirement age (62) should not be allowed to participate in politics.	1	20
I still believe it is a good idea	Should young adults with trust funds not be allowed to vote	0	13
I still believe it is a good idea	What about terminally ill adults?	0	11
I still believe it is a good idea	What about the unemployed?	0	9
I still believe it is a good idea	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	7
I still believe it is a good idea	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	0	6
I still believe it is a good idea	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	3
I still believe it is a good idea	I grant you that there is merit to that idea	0	4
I still believe it is a good idea	its better to have someone who is an effective problem solver	0	8
I still believe it is a good idea	This is why you see so many older people in politics	0	10
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	21
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	Should young adults with trust funds not be allowed to vote	0	14
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	What about terminally ill adults?	0	12
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	What about the unemployed?	0	10
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	I assume this is what you are really getting at, "can the old people just die so we can have some progress already!?!?"	0	8
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	You are making the argument that because they aren't living through what younger generations are living through then they can't make informed voting decisions regarding those people.	1	7
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	I think you are putting too much stock in the idea that you can only empathize and understand a situation if you have lived through it	0	2
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	I grant you that there is merit to that idea	0	3
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	its better to have someone who is an effective problem solver	0	7
I really don't think that the over 62 demographic has any concerns that effect (affect?) just them.	This is why you see so many older people in politics	0	9
As you mentioned, it will directly impact them in the future.	CMV: People over the retirement age (62) should not be allowed to participate in politics.	0	22
As you mentioned, it will directly impact them in the future.	Should young adults with trust funds not be allowed to vote	0	15
